Id;Idade;Faixa idade;Gênero;Cor/raca/etnia;PCD;Vive no Brasil;Estado onde mora;UF onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Setor;Numero de Funcionários;Cargo Atual;Nível;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?;Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?;Cientista de Dados/Data Scientist
001b2d1qtli8t9z7oqgdhj001b2d4i0g;31;30-34;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Doutorado ou Phd;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
0026aa3fwd78u0026asg7456tfkjg2cs;30;30-34;Masculino;Branca;Não;1;Espírito Santo (ES);ES;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Finanças ou Bancos;de 101 a 500;Analista de BI/BI Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;de 3 a 4 anos;de 3 a 4 anos;;
00r21rb9pusd1b0v7ew00r21rw3dy69w;37;35-39;Feminino;Amarela;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de Dados/Data Analyst;Júnior;de R$ 6.001/mês a R$ 8.000/mês;de 1 a 2 anos;Menos de 1 ano;;
00urm3jf2cek12w6ygue00urm3jzd17j;22;22-24;Masculino;Preta;Não;1;São Paulo (SP);SP;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Desempregado, buscando recolocação;;;;;;;;;
00v0az4g792svil00vn6y1kfm9hq8vy9;34;30-34;Masculino;Branca;Não;1;Minas Gerais (MG);MG;Sudeste;Doutorado ou Phd;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empreendedor ou Empregado (CNPJ);Outra Opção;de 101 a 500;Analista de Dados/Data Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Menos de 1 ano;Menos de 1 ano;;
015qqbrh4rr015qje9gvkbsb7ti1n5df;30;30-34;Masculino;Branca;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Estudante de Graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;de 51 a 100;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;de 1 a 2 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
01810y9hweneb018to8t1p8ubyn1o04m;24;22-24;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Empregado (CLT);Finanças ou Bancos;Acima de 3.000;Analista de Negócios/Business Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados;;
01k1i8w42ljmgee01k1eay1n1283ot23;35;35-39;Masculino;Branca;Não;1;São Paulo (SP);SP;Sudeste;Pós-graduação;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Varejo;Acima de 3.000;;;de R$ 20.001/mês a R$ 25.000/mês;de 7 a 10 anos;de 7 a 10 anos;4 - 10;0
01n9nd73iv68k81iefenxv01n9nd7wjt;27;25-29;Masculino;Parda;Não;1;Rio de Janeiro (RJ);RJ;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;
01v9nqn7mz93ace01v9ig2aswc6oy2zq;28;25-29;Masculino;Parda;Não;1;São Paulo (SP);SP;Sudeste;Graduação/Bacharelado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Desempregado, buscando recolocação;;;;;;;;;
