CO_CURSO,,,UF,NO_CURSO,CO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_NIVEL_ACADEMICO
1521433,,,SP,CIÊNCIA DE DADOS,0617C01,1,1
1599656,,,SP,CIÊNCIA DE DADOS,0617C01,1,1
1543013,,,SP,CIÊNCIA DE DADOS,0617C01,3,1
1603036,,,SP,CIÊNCIA DE DADOS,0617C01,1,1
1550460,,,PB,CIÊNCIA DE DADOS,0617C01,3,1
1538622,,,SP,CIÊNCIA DE DADOS,0617C01,1,1
1618685,,,SP,CIÊNCIA DE DADOS,0617C01,3,1
1589553,,,SP,CIÊNCIA DE DADOS,0617C01,3,1
1600504,,,MG,CIÊNCIA DE DADOS,0617C01,1,1
1545554,,,SP,CIÊNCIA DE DADOS,0617C01,3,1
1127861,,,CE,CIÊNCIA DE DADOS,0617C01,1,1
1571410,,,CE,CIÊNCIA DE DADOS,0617C01,3,1
1536760,,,SP,CIÊNCIA DE DADOS,0617C01,3,1
