Id,Idade,Faixa idade,Gênero,Cor/raca/etnia,PCD,Vive no Brasil,Estado onde mora,UF onde mora,Região onde Mora,Nível de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionários,Cargo Atual,Nível,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?,Existe faculdade no Estado
001b2d1qtli8t9z7oqgdhj001b2d4i0g,31,3,0,1,0,1,Minas Gerais (MG),9,Sudeste,4,2,Empregado (CLT),4,Acima de 3.000,3,2,4,4,2,0,1
0026aa3fwd78u0026asg7456tfkjg2cs,30,3,0,1,0,1,Espírito Santo (ES),6,Sudeste,1,2,Empreendedor ou Empregado (CNPJ),4,de 101 a 500,0,1,12,4,4,0,0
00r21rb9pusd1b0v7ew00r21rw3dy69w,37,4,1,0,0,1,São Paulo (SP),23,Sudeste,1,2,Empregado (CLT),4,Acima de 3.000,1,0,12,3,1,0,1
00v0az4g792svil00vn6y1kfm9hq8vy9,34,3,0,1,0,1,Minas Gerais (MG),9,Sudeste,4,3,Empreendedor ou Empregado (CNPJ),8,de 101 a 500,1,0,11,1,1,0,1
015qqbrh4rr015qje9gvkbsb7ti1n5df,30,3,0,1,0,1,Rio de Janeiro (RJ),17,Sudeste,0,2,Empreendedor ou Empregado (CNPJ),16,de 51 a 100,6,1,13,3,2,0,0
01zusm1faol2k2601zlthh05cj7iqyit,25,2,0,6,1,1,Sergipe (SE),22,Nordeste,0,2,Empregado (CLT),14,de 101 a 500,0,0,2,3,5,0,0
04b8mbh28y4r0z04b8f42bs4j4ma44pl,29,2,1,1,0,1,Rio de Janeiro (RJ),17,Sudeste,1,4,Servidor Público,14,Acima de 3.000,1,1,11,6,2,0,0
04qj1aoh18cgbwi04qj1aohkr325qe6z,35,4,0,4,0,1,Paraíba (PB),13,Nordeste,3,2,Empregado (CLT),6,de 1.001 a 3.000,6,2,4,6,4,0,1
04qmbrvl35x33l4prch04qmbr7a5ee5j,35,4,0,1,0,1,São Paulo (SP),23,Sudeste,1,3,Empregado (CLT),6,Acima de 3.000,6,2,4,7,2,0,1
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,29,2,0,1,0,1,Paraná (PR),16,Sul,1,7,Empreendedor ou Empregado (CNPJ),19,Acima de 3.000,3,2,0,6,1,0,0
05edmndszxd75nu8o05edmnbiuloulj9,25,2,1,1,0,1,São Paulo (SP),23,Sudeste,1,2,Empregado (CLT),10,Acima de 3.000,6,0,12,3,1,0,1
08f7gp5stfs0txz08fn357e56e1co6sj,23,1,0,0,0,1,São Paulo (SP),23,Sudeste,0,7,Empregado (CLT),7,Acima de 3.000,3,1,9,4,1,0,1
091jp2ibksf49d1cgtz0091jp2bpsxzx,31,3,0,1,0,1,São Paulo (SP),23,Sudeste,2,2,Empregado (CLT),19,Acima de 3.000,6,2,13,4,6,0,1
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,36,4,0,1,0,1,Santa Catarina (SC),21,Sul,3,7,Empregado (CLT),18,Acima de 3.000,1,1,13,4,2,0,0
0an4fvp64oeblyt70k00an4fvtn9vcle,29,2,0,1,0,1,São Paulo (SP),23,Sudeste,2,7,Empregado (CLT),10,Acima de 3.000,3,2,5,7,1,0,1
0autzixgz8xh4s7nwdw70autzmjayn79,38,4,0,1,0,1,Paraná (PR),16,Sul,1,3,Empregado (CLT),5,Acima de 3.000,1,1,11,0,2,0,0
0ayla3c460hpsv520ayla3i1xyyhg350,23,1,0,1,0,1,Rio Grande do Sul (RS),20,Sul,1,2,Empreendedor ou Empregado (CNPJ),2,de 101 a 500,1,1,12,3,1,0,0
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y,27,2,0,1,0,1,Pará (PA),12,Norte,3,8,Empregado (CLT),20,de 501 a 1.000,1,1,12,3,2,0,0
0b3av6hp5sh4tl79rh0b3avpntmyuqiu,26,2,0,1,0,1,São Paulo (SP),23,Sudeste,3,4,Empregado (CLT),4,Acima de 3.000,3,2,7,5,2,0,1
0b8rbnxgqxk8fio2z4k0b8syvfnu6uyz,30,3,0,4,0,1,Rio de Janeiro (RJ),17,Sudeste,2,7,Empregado (CLT),16,de 1.001 a 3.000,6,1,13,5,1,0,0
0b9sb2w74o4h0f42j0b9sbk83r3d01j0,26,2,1,1,0,1,Paraná (PR),16,Sul,0,2,Empregado (CLT),10,Acima de 3.000,0,0,9,3,2,0,0
0baz3khrxi0sei0bazgztvrrugudi1wd,50,7,1,4,0,1,São Paulo (SP),23,Sudeste,3,8,Servidor Público,1,de 501 a 1.000,8,1,13,0,1,0,1
0beob0vw5kuacjool0w0beobkbzsh06f,22,1,0,1,0,1,São Paulo (SP),23,Sudeste,1,2,Empregado (CLT),18,de 1.001 a 3.000,1,1,12,4,2,0,1
0bj58kvonhsptf90bj5ldaxfkdm013kt,39,4,0,4,0,1,Goiás (GO),7,Centro-oeste,2,5,Empregado (CLT),18,Acima de 3.000,0,0,11,3,2,0,0
0bulrqnzwpth2g6rcf0bulrqr6hfwmhx,34,3,1,1,0,1,Pernambuco (PE),14,Nordeste,2,2,Empregado (CLT),18,Acima de 3.000,6,2,4,7,3,0,0
0ddxnylpynv0fgc72nuiy0ddx2np8hvc,26,2,1,1,0,1,Paraná (PR),16,Sul,1,2,Empregado (CLT),18,Acima de 3.000,6,1,12,3,1,0,0
0dkjjbum7c9eeyyr0dkjusywtxxirtxf,27,2,0,6,0,1,Pernambuco (PE),14,Nordeste,1,7,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,4,de 101 a 500,6,2,7,6,2,0,0
0dmgnvaor1n4kwg0dofeq0cvtz9wszxp,27,2,0,1,0,1,São Paulo (SP),23,Sudeste,0,2,Estagiário,4,Acima de 3.000,3,0,9,1,3,0,1
